# Temperature (C), Mass Fraction
6.0023e+01,9.9914e-01
6.0190e+01,1.0003e+00
6.0356e+01,1.0006e+00
6.0523e+01,9.9984e-01
6.0690e+01,9.9989e-01
6.0856e+01,9.9974e-01
6.1023e+01,9.9986e-01
6.1190e+01,9.9952e-01
6.1356e+01,9.9958e-01
6.1523e+01,9.9966e-01
6.1690e+01,1.0005e+00
6.1856e+01,9.9998e-01
6.2023e+01,9.9995e-01
6.2190e+01,9.9998e-01
6.2357e+01,9.9968e-01
6.2523e+01,9.9941e-01
6.2690e+01,1.0002e+00
6.2857e+01,9.9946e-01
6.3023e+01,1.0006e+00
6.3190e+01,9.9984e-01
6.3357e+01,1.0001e+00
6.3523e+01,1.0002e+00
6.3690e+01,9.9969e-01
6.3857e+01,1.0001e+00
6.4024e+01,9.9935e-01
6.4190e+01,9.9971e-01
6.4357e+01,9.9995e-01
6.4524e+01,9.9999e-01
6.4690e+01,9.9968e-01
6.4857e+01,1.0001e+00
6.5024e+01,1.0003e+00
6.5190e+01,1.0013e+00
6.5357e+01,9.9964e-01
6.5524e+01,9.9975e-01
6.5691e+01,1.0004e+00
6.5857e+01,9.9982e-01
6.6024e+01,1.0004e+00
6.6191e+01,1.0001e+00
6.6357e+01,1.0004e+00
6.6524e+01,9.9970e-01
6.6691e+01,1.0006e+00
6.6857e+01,9.9992e-01
6.7024e+01,9.9951e-01
6.7191e+01,9.9997e-01
6.7358e+01,9.9935e-01
6.7524e+01,1.0001e+00
6.7691e+01,9.9989e-01
6.7858e+01,9.9989e-01
6.8024e+01,1.0007e+00
6.8191e+01,9.9979e-01
6.8358e+01,9.9996e-01
6.8524e+01,9.9954e-01
6.8691e+01,9.9976e-01
6.8858e+01,1.0006e+00
6.9024e+01,9.9981e-01
6.9191e+01,1.0011e+00
6.9358e+01,9.9991e-01
6.9525e+01,1.0004e+00
6.9691e+01,9.9982e-01
6.9858e+01,1.0003e+00
7.0025e+01,1.0011e+00
7.0191e+01,1.0009e+00
7.0358e+01,1.0005e+00
7.0525e+01,1.0004e+00
7.0691e+01,9.9969e-01
7.0858e+01,1.0002e+00
7.1025e+01,1.0003e+00
7.1192e+01,1.0003e+00
7.1358e+01,1.0003e+00
7.1525e+01,9.9983e-01
7.1692e+01,1.0001e+00
7.1858e+01,9.9971e-01
7.2025e+01,1.0000e+00
7.2192e+01,9.9911e-01
7.2358e+01,9.9991e-01
7.2525e+01,1.0000e+00
7.2692e+01,1.0003e+00
7.2859e+01,9.9963e-01
7.3025e+01,9.9941e-01
7.3192e+01,9.9994e-01
7.3359e+01,1.0002e+00
7.3525e+01,1.0009e+00
7.3692e+01,9.9976e-01
7.3859e+01,9.9983e-01
7.4025e+01,1.0006e+00
7.4192e+01,9.9932e-01
7.4359e+01,9.9964e-01
7.4525e+01,1.0002e+00
7.4692e+01,1.0006e+00
7.4859e+01,9.9995e-01
7.5026e+01,1.0000e+00
7.5192e+01,1.0005e+00
7.5359e+01,1.0012e+00
7.5526e+01,1.0002e+00
7.5692e+01,1.0008e+00
7.5859e+01,1.0005e+00
7.6026e+01,1.0002e+00
7.6192e+01,1.0001e+00
7.6359e+01,9.9971e-01
7.6526e+01,9.9932e-01
7.6693e+01,1.0011e+00
7.6859e+01,1.0006e+00
7.7026e+01,9.9934e-01
7.7193e+01,1.0004e+00
7.7359e+01,1.0008e+00
7.7526e+01,9.9948e-01
7.7693e+01,1.0005e+00
7.7859e+01,9.9932e-01
7.8026e+01,1.0006e+00
7.8193e+01,1.0005e+00
7.8360e+01,9.9975e-01
7.8526e+01,1.0007e+00
7.8693e+01,1.0013e+00
7.8860e+01,1.0000e+00
7.9026e+01,1.0005e+00
7.9193e+01,1.0001e+00
7.9360e+01,1.0002e+00
7.9526e+01,1.0002e+00
7.9693e+01,9.9967e-01
7.9860e+01,9.9920e-01
