# Temperature (C), Mass Fraction
5.5855e+01,1.0000e+00
5.6022e+01,1.0000e+00
5.6189e+01,1.0000e+00
5.6355e+01,1.0000e+00
5.6522e+01,1.0000e+00
5.6689e+01,1.0000e+00
5.6856e+01,1.0000e+00
5.7022e+01,1.0000e+00
5.7189e+01,1.0000e+00
5.7356e+01,1.0000e+00
5.7522e+01,1.0000e+00
5.7689e+01,1.0000e+00
5.7856e+01,1.0000e+00
5.8022e+01,1.0000e+00
5.8189e+01,1.0000e+00
5.8356e+01,1.0000e+00
5.8523e+01,1.0000e+00
5.8689e+01,1.0000e+00
5.8856e+01,1.0000e+00
5.9023e+01,1.0000e+00
5.9189e+01,1.0000e+00
5.9356e+01,1.0000e+00
5.9523e+01,1.0000e+00
5.9689e+01,1.0000e+00
5.9856e+01,1.0000e+00
6.0023e+01,1.0000e+00
6.0190e+01,1.0000e+00
6.0356e+01,1.0000e+00
6.0523e+01,1.0000e+00
6.0690e+01,1.0000e+00
6.0856e+01,1.0000e+00
6.1023e+01,1.0000e+00
6.1190e+01,1.0000e+00
6.1356e+01,1.0000e+00
6.1523e+01,1.0000e+00
6.1690e+01,1.0000e+00
6.1856e+01,1.0000e+00
6.2023e+01,1.0000e+00
6.2190e+01,1.0000e+00
6.2357e+01,1.0000e+00
6.2523e+01,1.0000e+00
6.2690e+01,1.0000e+00
6.2857e+01,1.0000e+00
6.3023e+01,1.0000e+00
6.3190e+01,1.0000e+00
6.3357e+01,1.0000e+00
6.3523e+01,1.0000e+00
6.3690e+01,1.0000e+00
6.3857e+01,1.0000e+00
6.4024e+01,1.0000e+00
6.4190e+01,1.0000e+00
6.4357e+01,1.0000e+00
6.4524e+01,1.0000e+00
6.4690e+01,1.0000e+00
6.4857e+01,1.0000e+00
6.5024e+01,1.0000e+00
6.5190e+01,1.0000e+00
6.5357e+01,1.0000e+00
6.5524e+01,1.0000e+00
6.5691e+01,1.0000e+00
6.5857e+01,1.0000e+00
6.6024e+01,1.0000e+00
6.6191e+01,1.0000e+00
6.6357e+01,1.0000e+00
6.6524e+01,1.0000e+00
6.6691e+01,1.0000e+00
6.6857e+01,1.0000e+00
6.7024e+01,1.0000e+00
6.7191e+01,1.0000e+00
6.7358e+01,1.0000e+00
6.7524e+01,1.0000e+00
6.7691e+01,1.0000e+00
6.7858e+01,1.0000e+00
6.8024e+01,1.0000e+00
6.8191e+01,1.0000e+00
6.8358e+01,1.0000e+00
6.8524e+01,1.0000e+00
6.8691e+01,1.0000e+00
6.8858e+01,1.0000e+00
6.9024e+01,1.0000e+00
6.9191e+01,1.0000e+00
6.9358e+01,1.0000e+00
6.9525e+01,1.0000e+00
6.9691e+01,1.0000e+00
6.9858e+01,1.0000e+00
7.0025e+01,1.0000e+00
7.0191e+01,1.0000e+00
7.0358e+01,1.0000e+00
7.0525e+01,1.0000e+00
7.0691e+01,1.0000e+00
7.0858e+01,1.0000e+00
7.1025e+01,1.0000e+00
7.1192e+01,1.0000e+00
7.1358e+01,1.0000e+00
7.1525e+01,1.0000e+00
7.1692e+01,1.0000e+00
7.1858e+01,1.0000e+00
7.2025e+01,1.0000e+00
7.2192e+01,1.0000e+00
7.2358e+01,1.0000e+00
7.2525e+01,1.0000e+00
7.2692e+01,1.0000e+00
7.2859e+01,1.0000e+00
7.3025e+01,1.0000e+00
7.3192e+01,1.0000e+00
7.3359e+01,1.0000e+00
7.3525e+01,1.0000e+00
7.3692e+01,1.0000e+00
7.3859e+01,1.0000e+00
7.4025e+01,1.0000e+00
7.4192e+01,1.0000e+00
7.4359e+01,1.0000e+00
7.4525e+01,1.0000e+00
7.4692e+01,1.0000e+00
7.4859e+01,1.0000e+00
7.5026e+01,1.0000e+00
7.5192e+01,1.0000e+00
7.5359e+01,1.0000e+00
7.5526e+01,1.0000e+00
7.5692e+01,1.0000e+00
7.5859e+01,1.0000e+00
7.6026e+01,1.0000e+00
7.6192e+01,1.0000e+00
7.6359e+01,1.0000e+00
7.6526e+01,1.0000e+00
7.6693e+01,1.0000e+00
7.6859e+01,1.0000e+00
7.7026e+01,1.0000e+00
7.7193e+01,1.0000e+00
7.7359e+01,1.0000e+00
7.7526e+01,1.0000e+00
7.7693e+01,1.0000e+00
7.7859e+01,1.0000e+00
7.8026e+01,1.0000e+00
7.8193e+01,1.0000e+00
7.8360e+01,1.0000e+00
7.8526e+01,1.0000e+00
7.8693e+01,1.0000e+00
7.8860e+01,1.0000e+00
7.9026e+01,1.0000e+00
7.9193e+01,1.0000e+00
7.9360e+01,1.0000e+00
7.9526e+01,1.0000e+00
7.9693e+01,1.0000e+00
7.9860e+01,1.0000e+00
8.0027e+01,1.0000e+00
8.0193e+01,1.0000e+00
8.0360e+01,1.0000e+00
8.0527e+01,1.0000e+00
8.0693e+01,1.0000e+00
8.0860e+01,1.0000e+00
8.1027e+01,1.0000e+00
8.1193e+01,1.0000e+00
8.1360e+01,1.0000e+00
8.1527e+01,1.0000e+00
8.1693e+01,1.0000e+00
8.1860e+01,1.0000e+00
8.2027e+01,1.0000e+00
8.2194e+01,1.0000e+00
8.2360e+01,1.0000e+00
8.2527e+01,1.0000e+00
8.2694e+01,1.0000e+00
8.2860e+01,1.0000e+00
8.3027e+01,1.0000e+00
8.3194e+01,1.0000e+00
8.3360e+01,1.0000e+00
8.3527e+01,1.0000e+00
8.3694e+01,1.0000e+00
8.3861e+01,1.0000e+00
8.4027e+01,1.0000e+00
8.4194e+01,1.0000e+00
8.4361e+01,1.0000e+00
8.4527e+01,1.0000e+00
8.4694e+01,1.0000e+00
8.4861e+01,1.0000e+00
8.5027e+01,1.0000e+00
8.5194e+01,1.0000e+00
8.5361e+01,1.0000e+00
8.5528e+01,1.0000e+00
8.5694e+01,1.0000e+00
8.5861e+01,1.0000e+00
8.6028e+01,1.0000e+00
8.6194e+01,1.0000e+00
8.6361e+01,1.0000e+00
8.6528e+01,1.0000e+00
8.6694e+01,1.0000e+00
8.6861e+01,1.0000e+00
8.7028e+01,1.0000e+00
8.7195e+01,1.0000e+00
8.7361e+01,1.0000e+00
8.7528e+01,1.0000e+00
8.7695e+01,1.0000e+00
8.7861e+01,1.0000e+00
8.8028e+01,1.0000e+00
8.8195e+01,1.0000e+00
8.8361e+01,1.0000e+00
8.8528e+01,1.0000e+00
8.8695e+01,1.0000e+00
8.8861e+01,1.0000e+00
8.9028e+01,1.0000e+00
8.9195e+01,1.0000e+00
8.9362e+01,1.0000e+00
8.9528e+01,1.0000e+00
8.9695e+01,1.0000e+00
8.9862e+01,1.0000e+00
9.0028e+01,1.0000e+00
9.0195e+01,1.0000e+00
9.0362e+01,1.0000e+00
9.0528e+01,1.0000e+00
9.0695e+01,1.0000e+00
9.0862e+01,1.0000e+00
9.1029e+01,1.0000e+00
9.1195e+01,1.0000e+00
9.1362e+01,1.0000e+00
9.1529e+01,1.0000e+00
9.1695e+01,1.0000e+00
9.1862e+01,1.0000e+00
9.2029e+01,1.0000e+00
9.2195e+01,1.0000e+00
9.2362e+01,1.0000e+00
9.2529e+01,1.0000e+00
9.2696e+01,1.0000e+00
9.2862e+01,1.0000e+00
9.3029e+01,1.0000e+00
9.3196e+01,1.0000e+00
9.3362e+01,1.0000e+00
9.3529e+01,1.0000e+00
9.3696e+01,1.0000e+00
9.3862e+01,1.0000e+00
9.4029e+01,1.0000e+00
9.4196e+01,1.0000e+00
9.4363e+01,1.0000e+00
9.4529e+01,1.0000e+00
9.4696e+01,1.0000e+00
9.4863e+01,1.0000e+00
9.5029e+01,1.0000e+00
9.5196e+01,1.0000e+00
9.5363e+01,1.0000e+00
9.5529e+01,1.0000e+00
9.5696e+01,1.0000e+00
9.5863e+01,1.0000e+00
9.6029e+01,1.0000e+00
9.6196e+01,1.0000e+00
9.6363e+01,1.0000e+00
9.6530e+01,1.0000e+00
9.6696e+01,1.0000e+00
9.6863e+01,1.0000e+00
9.7030e+01,1.0000e+00
9.7196e+01,1.0000e+00
9.7363e+01,1.0000e+00
9.7530e+01,1.0000e+00
9.7696e+01,1.0000e+00
9.7863e+01,1.0000e+00
9.8030e+01,1.0000e+00
9.8197e+01,1.0000e+00
9.8363e+01,1.0000e+00
9.8530e+01,1.0000e+00
9.8697e+01,1.0000e+00
9.8863e+01,1.0000e+00
9.9030e+01,1.0000e+00
9.9197e+01,1.0000e+00
9.9363e+01,1.0000e+00
9.9530e+01,1.0000e+00
9.9697e+01,1.0000e+00
9.9864e+01,1.0000e+00
1.0003e+02,1.0000e+00
1.0020e+02,1.0000e+00
1.0036e+02,1.0000e+00
1.0053e+02,1.0000e+00
1.0070e+02,1.0000e+00
1.0086e+02,1.0000e+00
1.0103e+02,1.0000e+00
1.0120e+02,1.0000e+00
1.0136e+02,1.0000e+00
1.0153e+02,1.0000e+00
1.0170e+02,1.0000e+00
1.0186e+02,1.0000e+00
1.0203e+02,1.0000e+00
1.0220e+02,1.0000e+00
1.0236e+02,1.0000e+00
1.0253e+02,1.0000e+00
1.0270e+02,1.0000e+00
1.0286e+02,1.0000e+00
1.0303e+02,1.0000e+00
1.0320e+02,1.0000e+00
1.0336e+02,1.0000e+00
1.0353e+02,1.0000e+00
1.0370e+02,1.0000e+00
1.0386e+02,1.0000e+00
1.0403e+02,1.0000e+00
1.0420e+02,1.0000e+00
1.0436e+02,1.0000e+00
1.0453e+02,1.0000e+00
1.0470e+02,1.0000e+00
1.0486e+02,1.0000e+00
1.0503e+02,1.0000e+00
1.0520e+02,1.0000e+00
1.0536e+02,1.0000e+00
1.0553e+02,1.0000e+00
1.0570e+02,1.0000e+00
1.0586e+02,1.0000e+00
1.0603e+02,1.0000e+00
1.0620e+02,1.0000e+00
1.0636e+02,1.0000e+00
1.0653e+02,1.0000e+00
1.0670e+02,1.0000e+00
1.0686e+02,1.0000e+00
1.0703e+02,1.0000e+00
1.0720e+02,1.0000e+00
1.0736e+02,1.0000e+00
1.0753e+02,1.0000e+00
